P1, 35-44, female, senior (4 years of college), Texas  
P2, 25-34, male, senior (4 years of college), Texas  
P3, 25-34, male, senior (4 years of college), North Carolina  
P4, 35-44, male, senior (4 years of college), Oklahoma  
P5, 25-34, female, senior (4 years of college), South Carolina  
P6, 25-34, male, senior (4 years of college), California  
P7, 25-34, male, masters, Pennsylvania  
P8, 25-34, male, senior (4 years of college), California  
P9, 25-34, male, sophomore (2 years of college), Texas  
P10, 25-34, female, junior (3 years of college), California 
P11, 35-44, female, senior (4 years of college), Pennsylvania  
P12, 25-34, male, senior (4 years of college), Ohio  
P13, 25-34, male, senior (4 years of college), Illinois  
P14, 45-54, female, sophomore (2 years of college), California  
P15, 25-34, female, sophomore (2 years of college), Tennessee  
P16, 45-54, male, senior (4 years of college), Missouri  
P17, 45-54, male, masters, Michigan  
P18, 45-54, male, masters, Maine  
P19, 45-54, male, senior (4 years of college), California  
P20, 45-54, female, senior (4 years of college), California  
P21, 55-64, female, other professional, Illinois  
P22, 25-34, male, senior (4 years of college), South Carolina  
P23, 35-44, female, masters, California  
P24, 25-34, male, senior (4 years of college), Nevada  
P25, 25-34, female, senior (4 years of college), Florida  
P26, 25-34, male, senior (4 years of college), Florida  
P27, 35-44, female, senior (4 years of college), Texas  
P28, 55-64, male, masters, Texas  
P29, 45-54, male, senior (4 years of college), New York  
P30, 45-54, male, senior (4 years of college), California  
P31, 45-54, female, masters, Alaska  
P32, 65-74, female, sophomore (2 years of college), Arizona  
P33, 25-34, male, masters, California  
P34, 25-34, male, freshman (1 year of college), Florida  
P35, 25-34, male, senior (4 years of college), Texas  
P36, 25-34, male, senior (4 years of college), Texas  
P37, 55-64, female, senior (4 years of college), Colorado  
P38, 45-54, female, masters, Florida  
P39, 45-54, female, masters, Florida  
P40, 45-54, female, senior (4 years of college), Texas  
P41, 45-54, female, high school, Connecticut  
P42, 35-44, male, masters, Florida  
P43, 25-34, male, senior (4 years of college), Arizona  
P44, 35-44, male, masters, New York  
P45, 25-34, female, senior (4 years of college), Connecticut  
P46, 16-24, male, senior (4 years of college), Maryland  
P47, 25-34, male, masters, North Carolina  
P48, 35-44, male, senior (4 years of college), Colorado  
P49, 55-64, male, freshman (1 year of college), California  
P50, 25-34, male, masters, California 
